ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
-5.760,0.308,10.896,-5.139,-0.343,10.542,-5.339,0.302,11.808
3.892,-4.454,4.386,3.778,-3.475,4.627,3.138,-4.581,3.745
12.246,5.464,7.239,11.934,5.663,8.165,13.179,5.514,7.341
-10.651,-5.536,3.434,-10.927,-6.469,3.735,-9.739,-5.750,3.047
10.051,8.413,3.060,9.742,8.620,3.981,9.216,8.273,2.635
-10.017,-0.085,7.312,-9.748,-0.392,8.217,-10.404,-0.898,6.951
8.875,-0.486,-7.455,9.085,-1.052,-8.196,8.140,-1.025,-7.027
11.195,-3.505,8.406,11.270,-2.922,7.578,10.990,-4.341,7.898
-3.057,0.371,8.095,-2.106,0.192,8.311,-3.491,0.552,8.943
7.122,2.389,-7.454,6.773,1.825,-6.784,6.358,2.300,-8.132
-5.680,3.333,-8.398,-5.918,2.474,-8.819,-5.886,3.886,-9.152
7.586,-8.784,12.306,7.192,-8.209,11.600,7.747,-8.052,12.992
5.465,-7.940,-10.832,5.944,-8.760,-10.940,5.464,-7.865,-9.837
3.715,4.204,5.283,3.001,3.672,5.650,4.454,3.904,5.792
-4.974,-8.381,-7.553,-4.644,-8.487,-6.656,-4.803,-7.464,-7.804
-8.150,-5.003,-10.329,-8.079,-5.928,-10.641,-8.458,-5.143,-9.382
6.818,-3.154,4.537,6.846,-3.464,3.572,6.086,-3.650,4.848
-4.342,9.346,3.748,-4.602,10.085,4.239,-4.539,8.644,4.453
-2.389,-2.792,-0.140,-1.656,-2.680,-0.712,-3.103,-2.258,-0.603
6.536,11.061,-2.333,5.788,10.564,-2.072,6.612,11.745,-1.688
-7.433,8.876,6.459,-7.361,8.617,7.346,-6.728,8.236,6.099
-0.432,0.888,9.231,-0.980,1.650,9.469,0.511,1.189,9.366
-3.408,5.332,1.528,-4.110,5.616,2.092,-3.372,6.093,0.900
-5.186,6.760,-11.401,-5.600,7.018,-12.227,-4.227,6.803,-11.604
9.785,7.073,12.345,10.273,7.818,12.015,9.302,7.429,13.099
-9.212,5.258,-4.666,-8.916,6.106,-4.341,-10.183,5.431,-4.724
-3.303,-3.201,-10.656,-2.985,-3.232,-9.764,-4.225,-3.534,-10.443
11.188,-1.685,1.510,11.852,-1.982,2.105,11.676,-1.861,0.672
5.730,12.291,5.137,6.516,11.846,5.447,5.871,12.224,4.186
3.922,2.764,9.065,3.979,3.736,8.896,4.374,2.526,8.296
1.473,-7.108,4.423,1.005,-7.208,5.276,2.358,-7.434,4.613
7.495,-1.390,-4.945,7.992,-2.222,-4.956,7.852,-0.892,-4.202
-1.426,7.024,-12.527,-1.490,7.669,-11.791,-0.574,7.360,-12.821
1.945,1.856,10.610,2.607,2.318,10.077,1.679,2.585,11.142
9.188,0.111,2.308,8.535,-0.569,2.107,10.011,-0.324,1.989
-5.853,0.236,-6.578,-6.681,0.572,-6.159,-5.381,-0.059,-5.812
2.166,12.256,-9.028,2.828,12.000,-8.441,1.741,11.439,-9.218
-9.261,-1.623,13.748,-9.670,-1.584,12.907,-10.144,-1.309,14.125
-1.618,-4.606,-12.547,-2.040,-4.058,-11.866,-0.739,-4.701,-12.138
3.817,5.175,8.140,4.067,5.519,7.220,3.506,5.985,8.517
-0.570,-9.138,7.330,-1.297,-9.235,6.723,-0.972,-8.320,7.785
-4.922,-3.655,-2.677,-5.196,-2.737,-2.587,-4.049,-3.447,-2.271
9.476,-1.609,-0.814,8.863,-1.388,-0.144,10.325,-1.641,-0.319
-8.846,-1.535,9.372,-9.253,-1.551,10.231,-9.069,-2.377,8.907
11.494,-8.724,-4.991,11.130,-9.581,-5.219,10.886,-8.684,-4.240
-10.571,7.271,-12.159,-10.631,8.257,-12.134,-11.514,7.080,-12.274
2.633,10.900,7.273,2.294,10.589,6.463,2.992,10.118,7.600
-10.658,8.866,12.001,-11.382,9.332,11.603,-10.829,9.079,12.973
6.912,-4.528,2.101,6.154,-5.227,2.138,7.263,-4.757,1.278
7.564,13.302,-7.384,7.237,13.140,-6.488,7.886,12.431,-7.722
-1.706,-2.159,8.650,-1.275,-1.993,7.767,-2.544,-2.593,8.425
9.640,-8.485,-10.967,9.212,-7.844,-11.603,9.046,-9.282,-11.009
-7.208,9.974,2.604,-6.843,10.529,3.246,-6.483,9.321,2.480
-4.812,-9.280,4.837,-4.865,-8.960,5.741,-5.489,-8.737,4.387
-9.052,-5.636,-7.488,-9.944,-5.789,-7.451,-8.676,-6.311,-6.922
-6.094,-1.328,8.103,-6.806,-0.844,8.582,-5.261,-0.901,8.393
8.412,6.857,-2.927,8.004,6.317,-3.591,7.971,6.577,-2.113
10.003,1.076,-5.589,9.706,0.556,-6.354,9.354,0.869,-4.910
2.467,7.481,-11.330,2.345,6.682,-10.746,1.959,7.323,-12.091
-1.681,8.303,-0.469,-2.191,8.968,0.034,-1.315,7.761,0.268
-4.111,-7.527,-4.781,-3.931,-7.712,-3.851,-4.235,-6.559,-4.975
-2.742,3.331,7.414,-3.377,2.659,7.254,-2.459,3.179,8.304
7.490,4.136,1.407,8.283,3.697,1.129,7.069,3.568,2.094
4.521,-1.392,1.658,4.805,-0.475,1.684,4.543,-1.686,2.583
-8.626,-6.491,1.730,-7.879,-6.250,2.270,-8.304,-7.234,1.170
-3.109,-6.055,7.104,-2.574,-5.862,7.863,-3.484,-5.160,6.867
0.500,0.119,6.836,-0.149,-0.252,7.380,0.077,0.004,5.973
-10.980,-2.400,-0.526,-10.757,-2.069,-1.411,-10.276,-3.018,-0.296
-10.091,-8.574,-9.241,-10.234,-8.145,-8.354,-9.483,-7.991,-9.661
-5.085,5.500,7.750,-4.401,4.856,7.596,-5.465,5.068,8.535
5.633,0.198,4.824,6.326,0.477,5.432,6.060,-0.539,4.338
-7.318,5.751,11.976,-7.251,5.973,11.049,-6.748,6.487,12.318
9.214,9.876,-12.920,8.426,10.258,-13.200,9.014,9.631,-11.981
10.514,5.058,5.433,11.191,5.238,6.170,9.771,5.661,5.720
2.001,-5.099,2.629,1.090,-4.987,2.292,1.723,-5.801,3.243
-9.562,-0.316,-9.346,-10.034,-0.983,-9.878,-8.983,-0.879,-8.786
4.876,5.313,-7.870,5.380,6.137,-7.905,4.047,5.539,-8.263
1.900,3.274,-3.888,1.804,2.312,-4.034,2.552,3.394,-3.124
-3.419,0.554,-7.539,-4.396,0.321,-7.366,-3.238,1.300,-6.847
-2.640,6.773,-2.568,-2.130,6.022,-2.936,-2.046,7.147,-1.882
3.812,9.415,-9.130,3.705,10.217,-9.667,3.158,8.881,-9.545
11.345,13.161,0.964,12.175,13.393,1.552,11.289,12.222,1.282
2.491,-1.420,-2.522,3.087,-0.922,-1.891,3.113,-1.819,-3.189
-7.092,5.101,-10.282,-6.993,4.637,-11.115,-6.402,5.783,-10.458
7.636,6.173,-0.554,7.678,5.292,-0.114,6.701,6.456,-0.425
-1.344,0.439,13.191,-0.497,0.276,12.831,-1.356,-0.261,13.891
1.005,-5.951,-11.502,1.351,-5.020,-11.447,1.160,-6.035,-12.493
-2.608,3.264,-11.621,-2.486,3.833,-10.878,-2.779,2.374,-11.160
10.172,2.630,-11.418,10.065,2.127,-10.534,11.131,2.696,-11.448
6.740,4.580,9.309,7.054,5.271,9.942,5.931,4.272,9.745
